Time (UTCG),Semi-major Axis (km),Apogee Altitude (km),Period (sec),,year,days
00:00.0,6678.14,300.003,5431.181,0,0,0
01:00.0,6677.953801,300.518049,5430.954,60,1.90129E-06,0.000694444
02:00.0,6677.679135,300.958123,5430.619,120,3.80257E-06,0.001388889
03:00.0,6677.317269,301.320174,5430.177,180,5.70386E-06,0.002083333
04:00.0,6676.870564,301.601444,5429.632,240,7.60514E-06,0.002777778
05:00.0,6676.344072,301.800933,5428.99,300,9.50643E-06,0.003472222
06:00.0,6675.745038,301.919581,5428.259,360,1.14077E-05,0.004166667
07:00.0,6675.081257,301.959045,5427.45,420,1.3309E-05,0.004861111
08:00.0,6674.360921,301.921113,5426.571,480,1.52103E-05,0.005555556
09:00.0,6673.594108,301.808699,5425.636,540,1.71116E-05,0.00625
10:00.0,6672.7933,301.626888,5424.66,600,1.90129E-05,0.006944444
11:00.0,6671.971535,301.382271,5423.658,660,2.09141E-05,0.007638889
12:00.0,6671.140276,301.081148,5422.644,720,2.28154E-05,0.008333333
13:00.0,6670.309736,300.728769,5421.631,780,2.47167E-05,0.009027778
14:00.0,6669.491172,300.330475,5420.633,840,2.6618E-05,0.009722222
15:00.0,6668.69803,299.893243,5419.666,900,2.85193E-05,0.010416667
16:00.0,6667.944318,299.425763,5418.748,960,3.04206E-05,0.011111111
17:00.0,6667.24202,298.937063,5417.892,1020,3.23218E-05,0.011805556
18:00.0,6666.600288,298.435363,5417.109,1080,3.42231E-05,0.0125
19:00.0,6666.026626,297.928226,5416.41,1140,3.61244E-05,0.013194444
20:00.0,6665.527975,297.423479,5415.802,1200,3.80257E-05,0.013888889
21:00.0,6665.110251,296.929644,5415.293,1260,3.9927E-05,0.014583333
22:00.0,6664.777224,296.455646,5414.887,1320,4.18283E-05,0.015277778
23:00.0,6664.530475,296.010706,5414.587,1380,4.37296E-05,0.015972222
24:00.0,6664.370672,295.605265,5414.392,1440,4.56308E-05,0.016666667
25:00.0,6664.298558,295.252556,5414.304,1500,4.75321E-05,0.017361111
26:00.0,6664.314329,294.96953,5414.323,1560,4.94334E-05,0.018055556
27:00.0,6664.415753,294.776082,5414.447,1620,5.13347E-05,0.01875
28:00.0,6664.597047,294.693063,5414.668,1680,5.3236E-05,0.019444444
29:00.0,6664.849606,294.740279,5414.976,1740,5.51373E-05,0.020138889
30:00.0,6665.163508,294.93466,5415.358,1800,5.70386E-05,0.020833333
31:00.0,6665.527933,295.287146,5415.802,1860,5.89398E-05,0.021527778
32:00.0,6665.930369,295.797649,5416.293,1920,6.08411E-05,0.022222222
33:00.0,6666.356531,296.451368,5416.812,1980,6.27424E-05,0.022916667
34:00.0,6666.792253,297.221211,5417.343,2040,6.46437E-05,0.023611111
35:00.0,6667.22576,298.075361,5417.872,2100,6.6545E-05,0.024305556
36:00.0,6667.647565,298.982742,5418.386,2160,6.84463E-05,0.025
37:00.0,6668.047874,299.912036,5418.874,2220,7.03476E-05,0.025694444
38:00.0,6668.414625,300.828701,5419.321,2280,7.22488E-05,0.026388889
39:00.0,6668.734547,301.696472,5419.711,2340,7.41501E-05,0.027083333
40:00.0,6668.995612,302.482302,5420.029,2400,7.60514E-05,0.027777778
41:00.0,6669.187397,303.157923,5420.263,2460,7.79527E-05,0.028472222
42:00.0,6669.298934,303.695883,5420.399,2520,7.9854E-05,0.029166667
43:00.0,6669.317626,304.066418,5420.422,2580,8.17553E-05,0.029861111
44:00.0,6669.232046,304.24169,5420.317,2640,8.36566E-05,0.030555556
45:00.0,6669.036688,304.204835,5420.079,2700,8.55578E-05,0.03125
46:00.0,6668.733913,303.954651,5419.71,2760,8.74591E-05,0.031944444
47:00.0,6668.331066,303.500991,5419.219,2820,8.93604E-05,0.032638889
48:00.0,6667.835677,302.855547,5418.615,2880,9.12617E-05,0.033333333
49:00.0,6667.253164,302.026605,5417.905,2940,9.3163E-05,0.034027778
50:00.0,6666.588425,301.021262,5417.095,3000,9.50643E-05,0.034722222
51:00.0,6665.848561,299.850453,5416.193,3060,9.69655E-05,0.035416667
52:00.0,6665.045074,298.53346,5415.214,3120,9.88668E-05,0.036111111
53:00.0,6664.191551,297.093924,5414.174,3180,0.000100768,0.036805556
54:00.0,6663.301149,295.555103,5413.089,3240,0.000102669,0.0375
55:00.0,6662.385902,293.938195,5411.973,3300,0.000104571,0.038194444
