Time (UTCG),Semi-major Axis (km),Apogee Altitude (km),Period (sec),,,
00:00.0,6678.14,300.003,5431.181,0,0,0
01:00.0,6678.076265,300.618363,5431.103,60,0.000694444,1.90129E-06
02:00.0,6677.92397,301.143371,5430.917,120,0.001388889,3.80257E-06
03:00.0,6677.684349,301.575466,5430.625,180,0.002083333,5.70386E-06
04:00.0,6677.359754,301.912553,5430.229,240,0.002777778,7.60514E-06
05:00.0,6676.955284,302.154721,5429.736,300,0.003472222,9.50643E-06
06:00.0,6676.47833,302.304351,5429.154,360,0.004166667,1.14077E-05
07:00.0,6675.936993,302.364653,5428.494,420,0.004861111,1.3309E-05
08:00.0,6675.339966,302.339026,5427.765,480,0.005555556,1.52103E-05
09:00.0,6674.698019,302.23222,5426.982,540,0.00625,1.71116E-05
10:00.0,6674.024469,302.051403,5426.161,600,0.006944444,1.90129E-05
11:00.0,6673.33324,301.805208,5425.318,660,0.007638889,2.09141E-05
12:00.0,6672.636645,301.501626,5424.469,720,0.008333333,2.28154E-05
13:00.0,6671.945611,301.147229,5423.626,780,0.009027778,2.47167E-05
14:00.0,6671.271923,300.748587,5422.804,840,0.009722222,2.6618E-05
15:00.0,6670.629335,300.314018,5422.021,900,0.010416667,2.85193E-05
16:00.0,6670.031951,299.853597,5421.293,960,0.011111111,3.04206E-05
17:00.0,6669.491682,299.377614,5420.634,1020,0.011805556,3.23218E-05
18:00.0,6669.017494,298.895409,5420.056,1080,0.0125,3.42231E-05
19:00.0,6668.616652,298.415752,5419.567,1140,0.013194444,3.61244E-05
20:00.0,6668.295844,297.948031,5419.176,1200,0.013888889,3.80257E-05
21:00.0,6668.060754,297.502888,5418.89,1260,0.014583333,3.9927E-05
22:00.0,6667.914952,297.092088,5418.712,1320,0.015277778,4.18283E-05
23:00.0,6667.859858,296.728769,5418.645,1380,0.015972222,4.37296E-05
24:00.0,6667.896,296.429079,5418.689,1440,0.016666667,4.56308E-05
25:00.0,6668.023998,296.214735,5418.845,1500,0.017361111,4.75321E-05
26:00.0,6668.243866,296.114646,5419.113,1560,0.018055556,4.94334E-05
27:00.0,6668.553133,296.163659,5419.49,1620,0.01875,5.13347E-05
28:00.0,6668.945717,296.397583,5419.968,1680,0.019444444,5.3236E-05
29:00.0,6669.412645,296.84517,5420.538,1740,0.020138889,5.51373E-05
30:00.0,6669.943547,297.519297,5421.185,1800,0.020833333,5.70386E-05
31:00.0,6670.527116,298.410707,5421.896,1860,0.021527778,5.89398E-05
32:00.0,6671.150373,299.487537,5422.656,1920,0.022222222,6.08411E-05
33:00.0,6671.79864,300.702184,5423.447,1980,0.022916667,6.27424E-05
34:00.0,6672.45747,302.003339,5424.25,2040,0.023611111,6.46437E-05
35:00.0,6673.114921,303.346588,5425.052,2100,0.024305556,6.6545E-05
36:00.0,6673.761447,304.696904,5425.84,2160,0.025,6.84463E-05
37:00.0,6674.387306,306.023418,5426.603,2220,0.025694444,7.03476E-05
38:00.0,6674.980579,307.294142,5427.327,2280,0.026388889,7.22488E-05
39:00.0,6675.528162,308.476815,5427.995,2340,0.027083333,7.41501E-05
40:00.0,6676.018164,309.543178,5428.593,2400,0.027777778,7.60514E-05
41:00.0,6676.440258,310.469488,5429.107,2460,0.028472222,7.79527E-05
42:00.0,6676.783596,311.23201,5429.526,2520,0.029166667,7.9854E-05
43:00.0,6677.035725,311.804391,5429.834,2580,0.029861111,8.17553E-05
44:00.0,6677.185323,312.162766,5430.016,2640,0.030555556,8.36566E-05
45:00.0,6677.226837,312.294923,5430.067,2700,0.03125,8.55578E-05
46:00.0,6677.162386,312.204187,5429.988,2760,0.031944444,8.74591E-05
47:00.0,6676.998918,311.903845,5429.789,2820,0.032638889,8.93604E-05
48:00.0,6676.74347,311.407649,5429.477,2880,0.033333333,9.12617E-05
49:00.0,6676.400832,310.725101,5429.059,2940,0.034027778,9.3163E-05
50:00.0,6675.975057,309.864499,5428.54,3000,0.034722222,9.50643E-05
51:00.0,6675.472454,308.839037,5427.927,3060,0.035416667,9.69655E-05
52:00.0,6674.903019,307.669864,5427.232,3120,0.036111111,9.88668E-05
53:00.0,6674.278969,306.38337,5426.471,3180,0.036805556,0.000100768
54:00.0,6673.612351,305.006741,5425.658,3240,0.0375,0.000102669
55:00.0,6672.914311,303.56709,5424.807,3300,0.038194444,0.000104571
56:00.0,6672.196711,302.095531,5423.932,3360,0.038888889,0.000106472
57:00.0,6671.473993,300.631809,5423.051,3420,0.039583333,0.000108373
58:00.0,6670.762562,299.223568,5422.183,3480,0.040277778,0.000110275
59:00.0,6670.077553,297.919825,5421.348,3540,0.040972222,0.000112176
00:00.0,6669.430089,296.764739,5420.559,3600,0.041666667,0.000114077
01:00.0,6668.827996,295.796429,5419.825,3660,0.042361111,0.000115978
02:00.0,6668.279251,295.046714,5419.156,3720,0.043055556,0.00011788
03:00.0,6667.794476,294.534271,5418.565,3780,0.04375,0.000119781
04:00.0,6667.385923,294.254685,5418.067,3840,0.044444444,0.000121682
05:00.0,6667.064158,294.179983,5417.675,3900,0.045138889,0.000123584
06:00.0,6666.835634,294.270077,5417.396,3960,0.045833333,0.000125485
07:00.0,6666.702845,294.485761,5417.234,4020,0.046527778,0.000127386
08:00.0,6666.66614,294.795424,5417.19,4080,0.047222222,0.000129287
09:00.0,6666.725238,295.175559,5417.262,4140,0.047916667,0.000131189
