Time (UTCG),Semi-major Axis (km),Apogee Altitude (km),Period (sec),,,
00:00.0,6778.137,400,5553.624,0,0,0
01:00.0,6778.090018,400.606723,5553.567,60,0.000694444,1.90129E-06
02:00.0,6777.959157,401.126224,5553.406,120,0.001388889,3.80257E-06
03:00.0,6777.745724,401.556279,5553.143,180,0.002083333,5.70386E-06
04:00.0,6777.45203,401.895206,5552.782,240,0.002777778,7.60514E-06
05:00.0,6777.082575,402.143094,5552.328,300,0.003472222,9.50643E-06
06:00.0,6776.64389,402.302002,5551.789,360,0.004166667,1.14077E-05
07:00.0,6776.143444,402.374985,5551.174,420,0.004861111,1.3309E-05
08:00.0,6775.589345,402.365469,5550.493,480,0.005555556,1.52103E-05
09:00.0,6774.991244,402.277884,5549.759,540,0.00625,1.71116E-05
10:00.0,6774.360857,402.118509,5548.984,600,0.006944444,1.90129E-05
11:00.0,6773.710865,401.89506,5548.185,660,0.007638889,2.09141E-05
12:00.0,6773.053165,401.615213,5547.377,720,0.008333333,2.28154E-05
13:00.0,6772.398478,401.285678,5546.573,780,0.009027778,2.47167E-05
14:00.0,6771.757646,400.912838,5545.786,840,0.009722222,2.6618E-05
15:00.0,6771.142782,400.50408,5545.03,900,0.010416667,2.85193E-05
16:00.0,6770.566655,400.068247,5544.323,960,0.011111111,3.04206E-05
17:00.0,6770.040868,399.6148,5543.677,1020,0.011805556,3.23218E-05
18:00.0,6769.574704,399.152757,5543.104,1080,0.0125,3.42231E-05
19:00.0,6769.175552,398.690573,5542.614,1140,0.013194444,3.61244E-05
20:00.0,6768.849893,398.236926,5542.214,1200,0.013888889,3.80257E-05
21:00.0,6768.603451,397.801492,5541.912,1260,0.014583333,3.9927E-05
22:00.0,6768.440456,397.395138,5541.711,1320,0.015277778,4.18283E-05
23:00.0,6768.363148,397.029997,5541.616,1380,0.015972222,4.37296E-05
24:00.0,6768.37231,396.720344,5541.628,1440,0.016666667,4.56308E-05
25:00.0,6768.468263,396.484526,5541.745,1500,0.017361111,4.75321E-05
26:00.0,6768.651092,396.346989,5541.97,1560,0.018055556,4.94334E-05
27:00.0,6768.919618,396.338721,5542.3,1620,0.01875,5.13347E-05
28:00.0,6769.270074,396.494495,5542.73,1680,0.019444444,5.3236E-05
29:00.0,6769.695767,396.846329,5543.253,1740,0.020138889,5.51373E-05
30:00.0,6770.187968,397.414519,5543.858,1800,0.020833333,5.70386E-05
31:00.0,6770.736901,398.199981,5544.532,1860,0.021527778,5.89398E-05
32:00.0,6771.331786,399.181911,5545.263,1920,0.022222222,6.08411E-05
33:00.0,6771.960364,400.321924,5546.035,1980,0.022916667,6.27424E-05
34:00.0,6772.6093,401.572818,5546.832,2040,0.023611111,6.46437E-05
35:00.0,6773.265848,402.888431,5547.639,2100,0.024305556,6.6545E-05
36:00.0,6773.919282,404.230079,5548.441,2160,0.025,6.84463E-05
37:00.0,6774.560408,405.566538,5549.229,2220,0.025694444,7.03476E-05
38:00.0,6775.179608,406.869473,5549.99,2280,0.026388889,7.22488E-05
39:00.0,6775.765684,408.109998,5550.71,2340,0.027083333,7.41501E-05
40:00.0,6776.306803,409.259716,5551.375,2400,0.027777778,7.60514E-05
41:00.0,6776.792156,410.293618,5551.972,2460,0.028472222,7.79527E-05
42:00.0,6777.21208,411.190083,5552.488,2520,0.029166667,7.9854E-05
43:00.0,6777.556633,411.927743,5552.911,2580,0.029861111,8.17553E-05
44:00.0,6777.815044,412.484056,5553.229,2640,0.030555556,8.36566E-05
45:00.0,6777.977807,412.839299,5553.429,2700,0.03125,8.55578E-05
46:00.0,6778.040068,412.983229,5553.505,2760,0.031944444,8.74591E-05
47:00.0,6778.003071,412.917982,5553.46,2820,0.032638889,8.93604E-05
48:00.0,6777.872224,412.654192,5553.299,2880,0.033333333,9.12617E-05
49:00.0,6777.653576,412.203967,5553.03,2940,0.034027778,9.3163E-05
50:00.0,6777.351815,411.576899,5552.659,3000,0.034722222,9.50643E-05
51:00.0,6776.971041,410.781706,5552.191,3060,0.035416667,9.69655E-05
52:00.0,6776.516958,409.830764,5551.633,3120,0.036111111,9.88668E-05
53:00.0,6775.99808,408.742657,5550.996,3180,0.036805556,0.000100768
54:00.0,6775.425192,407.541298,5550.292,3240,0.0375,0.000102669
55:00.0,6774.809408,406.252345,5549.535,3300,0.038194444,0.000104571
56:00.0,6774.161244,404.901868,5548.739,3360,0.038888889,0.000106472
57:00.0,6773.491431,403.518738,5547.916,3420,0.039583333,0.000108373
58:00.0,6772.81242,402.138419,5547.082,3480,0.040277778,0.000110275
59:00.0,6772.13857,400.803714,5546.254,3540,0.040972222,0.000112176
00:00.0,6771.484194,399.560597,5545.45,3600,0.041666667,0.000114077
01:00.0,6770.861081,398.45209,5544.684,3660,0.042361111,0.000115978
02:00.0,6770.277918,397.514494,5543.968,3720,0.043055556,0.00011788
03:00.0,6769.742215,396.77576,5543.31,3780,0.04375,0.000119781
04:00.0,6769.262754,396.251911,5542.721,3840,0.044444444,0.000121682
05:00.0,6768.850051,395.941469,5542.214,3900,0.045138889,0.000123584
06:00.0,6768.514457,395.824252,5541.802,3960,0.045833333,0.000125485
07:00.0,6768.263739,395.868001,5541.494,4020,0.046527778,0.000127386
08:00.0,6768.102105,396.03809,5541.296,4080,0.047222222,0.000129287
09:00.0,6768.030993,396.3043,5541.208,4140,0.047916667,0.000131189
10:00.0,6768.050461,396.642974,5541.232,4200,0.048611111,0.00013309
11:00.0,6768.159936,397.036066,5541.367,4260,0.049305556,0.000134991
12:00.0,6768.35791,397.469077,5541.61,4320,0.05,0.000136893
13:00.0,6768.641061,397.929304,5541.958,4380,0.050694444,0.000138794
14:00.0,6769.003725,398.405035,5542.403,4440,0.051388889,0.000140695
15:00.0,6769.43828,398.885596,5542.937,4500,0.052083333,0.000142596
16:00.0,6769.936138,399.361572,5543.548,4560,0.052777778,0.000144498
17:00.0,6770.488321,399.824519,5544.227,4620,0.053472222,0.000146399
18:00.0,6771.085151,400.266221,5544.96,4680,0.054166667,0.0001483
19:00.0,6771.715718,400.678207,5545.734,4740,0.054861111,0.000150202
20:00.0,6772.368094,401.051959,5546.536,4800,0.055555556,0.000152103
21:00.0,6773.030095,401.379289,5547.349,4860,0.05625,0.000154004
22:00.0,6773.689537,401.65222,5548.159,4920,0.056944444,0.000155905
23:00.0,6774.333768,401.862649,5548.951,4980,0.057638889,0.000157807
24:00.0,6774.949793,402.00282,5549.708,5040,0.058333333,0.000159708
25:00.0,6775.525847,402.066723,5550.415,5100,0.059027778,0.000161609
26:00.0,6776.053038,402.050796,5551.063,5160,0.059722222,0.000163511
27:00.0,6776.524706,401.952411,5551.643,5220,0.060416667,0.000165412
28:00.0,6776.933488,401.767135,5552.145,5280,0.061111111,0.000167313
29:00.0,6777.269349,401.487855,5552.558,5340,0.061805556,0.000169214
30:00.0,6777.521046,401.107315,5552.867,5400,0.0625,0.000171116
31:00.0,6777.679782,400.622202,5553.062,5460,0.063194444,0.000173017
32:00.0,6777.741617,400.039448,5553.138,5520,0.063888889,0.000174918
33:00.0,6777.706728,399.836663,5553.095,5580,0.064583333,0.00017682
34:00.0,6777.577581,400.345145,5552.937,5640,0.065277778,0.000178721
35:00.0,6777.358663,400.774825,5552.668,5700,0.065972222,0.000180622
36:00.0,6777.057438,401.113371,5552.298,5760,0.066666667,0.000182523
37:00.0,6776.683993,401.364574,5551.839,5820,0.067361111,0.000184425
38:00.0,6776.248597,401.534377,5551.304,5880,0.068055556,0.000186326
39:00.0,6775.759407,401.627665,5550.702,5940,0.06875,0.000188227
40:00.0,6775.222761,401.647396,5550.043,6000,0.069444444,0.000190129
41:00.0,6774.645487,401.596027,5549.334,6060,0.070138889,0.00019203
42:00.0,6774.036472,401.477252,5548.585,6120,0.070833333,0.000193931
43:00.0,6773.406061,401.296223,5547.811,6180,0.071527778,0.000195832
44:00.0,6772.764556,401.058519,5547.023,6240,0.072222222,0.000197734
45:00.0,6772.121812,400.769453,5546.233,6300,0.072916667,0.000199635
46:00.0,6771.488096,400.434491,5545.455,6360,0.073611111,0.000201536
47:00.0,6770.874807,400.060107,5544.701,6420,0.074305556,0.000203438
48:00.0,6770.294035,399.654028,5543.988,6480,0.075,0.000205339
49:00.0,6769.757449,399.22478,5543.329,6540,0.075694444,0.00020724
50:00.0,6769.275557,398.781169,5542.737,6600,0.076388889,0.000209141
51:00.0,6768.857674,398.33225,5542.224,6660,0.077083333,0.000211043
52:00.0,6768.51205,397.887649,5541.799,6720,0.077777778,0.000212944
53:00.0,6768.245587,397.457828,5541.472,6780,0.078472222,0.000214845
54:00.0,6768.063246,397.054107,5541.248,6840,0.079166667,0.000216747
55:00.0,6767.967732,396.68874,5541.131,6900,0.079861111,0.000218648
56:00.0,6767.959919,396.375585,5541.121,6960,0.080555556,0.000220549
57:00.0,6768.039638,396.13161,5541.219,7020,0.08125,0.00022245
58:00.0,6768.205879,395.978549,5541.423,7080,0.081944444,0.000224352
59:00.0,6768.455959,395.943252,5541.73,7140,0.082638889,0.000226253
00:00.0,6768.784577,396.055524,5542.134,7200,0.083333333,0.000228154
01:00.0,6769.184243,396.343609,5542.625,7260,0.084027778,0.000230056
02:00.0,6769.647084,396.828824,5543.193,7320,0.084722222,0.000231957
03:00.0,6770.166062,397.520486,5543.831,7380,0.085416667,0.000233858
04:00.0,6770.733849,398.411148,5544.528,7440,0.086111111,0.000235759
