"Time (UTCG)","Semi-parameter (km)","Semi-major Axis (km)","Eccentricity","Inclination (deg)","Arg of Perigee (deg)","RAAN (deg)","Height of Apogee (km)","Height of Perigee (km)","Sidereal Period (sec)","Orbit Count"
23 Jun 2025 09:48:17.674,6973.412155,6973.417860,0.00090451,44.980564,180.000000,0.000000,601.588352,588.973368,5795.347941,0
24 Jun 2025 01:51:41.250,6972.445704,6972.450760,0.00085156,44.980418,190.060467,356.533830,600.251191,588.376328,5794.142401,10
24 Jun 2025 17:54:58.503,6971.417250,6971.421752,0.00080358,44.980290,201.144586,353.066677,598.886828,587.682676,5792.859782,20
25 Jun 2025 09:58:02.961,6970.396956,6970.400983,0.00076009,44.980183,213.124317,349.598502,597.562130,586.965835,5791.587526,30
26 Jun 2025 02:00:54.743,6969.387838,6969.391536,0.00072840,44.980088,225.922616,346.129341,596.331073,586.177999,5790.329473,40
26 Jun 2025 18:03:33.583,6968.324348,6968.327879,0.00071184,44.979985,238.856912,342.659212,595.151229,585.230529,5789.003958,50
27 Jun 2025 10:05:59.338,6967.292442,6967.295965,0.00071105,44.979861,251.436029,339.188055,594.113044,584.204886,5787.718097,60
28 Jun 2025 02:08:12.437,6966.297239,6966.300942,0.00072910,44.979703,263.161708,335.715889,593.243106,583.084778,5786.478296,70
28 Jun 2025 18:10:12.769,6965.246820,6965.250867,0.00076227,44.979496,273.567934,332.242725,592.423238,581.804496,5785.169997,80
29 Jun 2025 10:11:59.943,6964.188490,6964.193000,0.00080475,44.979244,282.614164,328.768475,591.660468,580.451532,5783.852088,90
30 Jun 2025 02:13:34.095,6963.159318,6963.164451,0.00085855,44.978957,290.222790,325.293111,591.005693,579.049208,5782.570800,100
30 Jun 2025 18:14:55.105,6962.081298,6962.087183,0.00091940,44.978646,296.559133,321.816642,590.351093,577.549273,5781.228924,110
1 Jul 2025 10:16:02.622,6960.995133,6961.001887,0.00098504,44.978328,302.045303,318.339001,589.721731,576.008044,5779.877153,120
2 Jul 2025 02:16:56.876,6959.953789,6959.961554,0.00105627,44.978027,306.771761,314.860180,589.176156,574.472952,5778.581484,130
2 Jul 2025 18:17:37.897,6958.871720,6958.880614,0.00113056,44.977753,310.864556,311.380232,588.611029,572.876199,5777.235343,140
3 Jul 2025 10:18:05.327,6957.772466,6957.782599,0.00120677,44.977520,314.680392,307.899121,588.042074,571.249123,5775.868044,150
4 Jul 2025 02:18:19.346,6956.719113,6956.730611,0.00128562,44.977341,318.152398,304.416852,587.537295,569.649928,5774.558164,160
4 Jul 2025 18:18:20.040,6955.633182,6955.646154,0.00136561,44.977214,321.294759,300.933496,587.007859,568.010449,5773.207957,170
5 Jul 2025 10:18:07.026,6954.517821,6954.532356,0.00144565,44.977139,324.380124,297.449035,586.449207,566.341504,5771.821328,180
6 Jul 2025 02:17:40.399,6953.446940,6953.463150,0.00152686,44.977111,327.308470,293.963466,585.943095,564.709205,5770.490320,190
6 Jul 2025 18:17:00.303,6952.354092,6952.372066,0.00160791,44.977115,330.042367,290.476851,585.413851,563.056282,5769.132182,200
7 Jul 2025 10:16:06.350,6951.220570,6951.240370,0.00168769,44.977138,332.796761,286.989173,584.834914,561.371825,5767.723603,210
8 Jul 2025 02:14:58.549,6950.129171,6950.150889,0.00176775,44.977170,335.485313,283.500399,584.300002,559.727777,5766.367678,220
8 Jul 2025 18:13:37.103,6949.027444,6949.051134,0.00184635,44.977196,338.047083,280.010570,583.744522,558.083745,5764.999072,230
9 Jul 2025 10:12:01.637,6947.875723,6947.901405,0.00192260,44.977205,340.656506,276.519658,583.122466,556.406344,5763.568393,240
10 Jul 2025 02:10:12.077,6946.761979,6946.789724,0.00199848,44.977202,343.249004,273.027600,582.535731,554.769716,5762.185170,250
10 Jul 2025 18:08:08.667,6945.648830,6945.678636,0.00207156,44.977187,345.751748,269.534418,581.930035,553.153238,5760.802798,260
11 Jul 2025 10:05:51.050,6944.477670,6944.509514,0.00214140,44.977169,348.312929,266.040088,581.243490,551.501539,5759.348340,270
12 Jul 2025 02:03:19.059,6943.337440,6943.371363,0.00221035,44.977169,350.887709,262.544538,580.581632,549.887094,5757.932529,280
12 Jul 2025 18:00:32.946,6942.206565,6942.242506,0.00227531,44.977209,353.394515,259.047801,579.901229,548.309782,5756.528394,290
13 Jul 2025 09:57:32.360,6941.009470,6941.047357,0.00233632,44.977303,355.967914,255.549884,579.126845,546.693869,5755.041927,300
14 Jul 2025 01:54:17.016,6939.832528,6939.872368,0.00239599,44.977471,358.578502,252.050736,578.363200,545.107537,5753.580658,310
14 Jul 2025 17:50:47.132,6938.670532,6938.712206,0.00245070,44.977718,1.135721,248.550416,577.579909,543.570502,5752.137949,320
15 Jul 2025 09:47:02.328,6937.431981,6937.475371,0.00250087,44.978031,3.770941,245.048967,576.688071,541.988670,5750.600028,330
16 Jul 2025 01:43:02.162,6936.198808,6936.243883,0.00254921,44.978391,6.464464,241.546349,575.788845,540.424921,5749.068892,340
16 Jul 2025 17:38:46.771,6934.982188,6935.028774,0.00259183,44.978762,9.116898,238.042605,574.866199,538.917349,5747.558253,350
17 Jul 2025 09:34:15.694,6933.674563,6933.722497,0.00262929,44.979094,11.864763,234.537763,573.816252,537.354742,5745.934421,360
18 Jul 2025 01:29:28.286,6932.354232,6932.403450,0.00266452,44.979349,14.690605,231.031724,572.737967,535.794933,5744.294869,370
18 Jul 2025 17:24:24.551,6931.046999,6931.097278,0.00269334,44.979489,17.489787,227.524458,571.628057,534.292499,5742.671474,380
19 Jul 2025 09:19:03.884,6929.629481,6929.680612,0.00271636,44.979491,20.409737,224.015929,570.367097,532.720127,5740.910924,390
20 Jul 2025 01:13:25.404,6928.180278,6928.232183,0.00273713,44.979361,23.426715,220.505964,569.058684,531.131683,5739.111087,400
20 Jul 2025 17:07:28.940,6926.735316,6926.787729,0.00275075,44.979121,26.439709,216.994487,567.704605,529.596853,5737.316375,410
21 Jul 2025 09:01:13.699,6925.158287,6925.210962,0.00275796,44.978808,29.608341,213.481460,566.173394,527.974530,5735.357481,420
22 Jul 2025 00:54:38.557,6923.532334,6923.585208,0.00276346,44.978474,32.895308,209.966736,564.581253,526.315163,5733.337961,430
22 Jul 2025 16:47:43.144,6921.895684,6921.948430,0.00276047,44.978151,36.215183,206.450295,562.919241,524.703620,5731.304988,440
23 Jul 2025 08:40:26.451,6920.107117,6920.159468,0.00275045,44.977852,39.730563,202.932160,561.055998,522.988937,5729.083266,450
24 Jul 2025 00:32:47.132,6918.253328,6918.305254,0.00273966,44.977583,43.385942,199.412192,559.122041,521.214468,5726.780812,460
24 Jul 2025 16:24:44.582,6916.367144,6916.418256,0.00271845,44.977324,47.118877,195.890343,557.083159,519.479353,5724.437965,470
25 Jul 2025 08:16:17.568,6914.314530,6914.364583,0.00269055,44.977053,51.082482,192.366584,554.831049,517.624118,5721.888542,480
26 Jul 2025 00:07:24.525,6912.175899,6912.224929,0.00266331,44.976756,55.215123,188.840729,552.497308,515.678550,5719.232784,490
26 Jul 2025 15:58:04.564,6909.979565,6910.027133,0.00262374,44.976405,59.479274,185.312686,550.020258,513.760008,5716.505290,500
27 Jul 2025 07:48:16.228,6907.605799,6907.651743,0.00257899,44.975980,64.017558,181.782383,547.329539,511.699948,5713.557886,510
27 Jul 2025 23:37:57.759,6905.125665,6905.170080,0.00253617,44.975480,68.758426,178.249606,544.545732,509.520428,5710.479158,520
28 Jul 2025 15:27:07.999,6902.564291,6902.606751,0.00248016,44.974895,73.693206,174.714231,541.589290,507.350211,5707.299696,530
