"Time (UTCG)","Semi-parameter (km)","Semi-major Axis (km)","Eccentricity","Inclination (deg)","Arg of Perigee (deg)","RAAN (deg)","Height of Apogee (km)","Height of Perigee (km)","Sidereal Period (sec)","Orbit Count"
23 Jun 2025 09:48:17.674,6973.412155,6973.417860,0.00090451,44.980564,180.000000,0.000000,601.588352,588.973368,5795.347941,0
24 Jun 2025 01:51:51.136,6973.231939,6973.237017,0.00085333,44.980514,187.859060,356.533557,601.050472,589.149561,5795.122504,10
24 Jun 2025 17:55:23.423,6973.041704,6973.046203,0.00080324,44.980497,196.411092,353.066923,600.510258,589.308148,5794.884641,20
25 Jun 2025 09:58:53.346,6972.855555,6972.859529,0.00075493,44.980513,205.664003,349.600116,599.986556,589.458502,5794.651943,30
26 Jun 2025 02:02:20.954,6972.673151,6972.676671,0.00071052,44.980552,215.621324,346.133165,599.493878,589.585464,5794.424003,40
26 Jun 2025 18:05:46.207,6972.480703,6972.483847,0.00067158,44.980598,226.146003,342.666086,599.029450,589.664244,5794.183645,50
27 Jun 2025 10:09:09.075,6972.293585,6972.296436,0.00063952,44.980634,237.023399,339.198872,598.618364,589.700508,5793.950036,60
28 Jun 2025 02:12:29.648,6972.115373,6972.118024,0.00061657,44.980644,247.975548,335.731521,598.279814,589.682233,5793.727648,70
28 Jun 2025 18:15:47.947,6971.931647,6971.934187,0.00060356,44.980618,258.616376,332.264023,598.005186,589.589188,5793.498501,80
29 Jun 2025 10:19:03.959,6971.750856,6971.753366,0.00060003,44.980551,268.631717,328.796346,597.799600,589.433132,5793.273116,90
30 Jun 2025 02:22:17.743,6971.576635,6971.579196,0.00060613,44.980447,277.738525,325.328472,597.667847,589.216546,5793.056024,100
30 Jun 2025 18:25:29.302,6971.395545,6971.398231,0.00062069,44.980315,285.774275,321.860385,597.588334,588.934128,5792.830465,110
1 Jul 2025 10:28:38.589,6971.213973,6971.216846,0.00064200,44.980169,292.762666,318.392064,597.555386,588.604306,5792.604386,120
2 Jul 2025 02:31:45.658,6971.041066,6971.044190,0.00066943,44.980026,298.780223,314.923504,597.573818,588.240562,5792.389189,130
2 Jul 2025 18:34:50.538,6970.863798,6970.867230,0.00070167,44.979899,303.946962,311.454718,597.621497,587.838963,5792.168631,140
3 Jul 2025 10:37:53.194,6970.685215,6970.689007,0.00073758,44.979799,308.462992,307.985710,597.693460,587.410555,5791.946502,150
4 Jul 2025 02:40:53.679,6970.516321,6970.520526,0.00077674,44.979734,312.431856,304.516495,597.797783,586.969269,5791.736516,160
4 Jul 2025 18:43:52.039,6970.344901,6970.349571,0.00081847,44.979704,315.939700,301.047104,597.917611,586.507530,5791.523450,170
5 Jul 2025 10:46:48.240,6970.170343,6970.175524,0.00086210,44.979705,319.136712,297.577550,598.047535,586.029512,5791.306533,180
6 Jul 2025 02:49:42.320,6970.004919,6970.010660,0.00090754,44.979729,322.065295,294.107849,598.199215,585.548105,5791.101064,190
6 Jul 2025 18:52:34.334,6969.839147,6969.845496,0.00095445,44.979763,324.751839,290.638023,598.360859,585.056133,5790.895223,200
7 Jul 2025 10:55:24.251,6969.668601,6969.675604,0.00100234,44.979793,327.294155,287.168079,598.524586,584.552622,5790.683492,210
8 Jul 2025 02:58:12.095,6969.506507,6969.514211,0.00105134,44.979805,329.705251,283.698010,598.704526,584.049896,5790.482355,220
8 Jul 2025 19:00:57.931,6969.346544,6969.354995,0.00110119,44.979785,331.982237,280.227816,598.892568,583.543422,5790.283935,230
9 Jul 2025 11:03:41.738,6969.180731,6969.189972,0.00115148,44.979727,334.191220,276.757484,599.077866,583.028077,5790.078279,240
10 Jul 2025 03:06:23.522,6969.021866,6969.031943,0.00120246,44.979628,336.339427,273.286985,599.274893,582.514993,5789.881342,250
10 Jul 2025 19:09:03.355,6968.867306,6968.878262,0.00125385,44.979493,338.409091,269.816302,599.479192,582.003331,5789.689825,260
11 Jul 2025 11:11:41.221,6968.706125,6968.717999,0.00130530,44.979336,340.446906,266.345417,599.677298,581.484699,5789.490108,270
12 Jul 2025 03:14:17.113,6968.550078,6968.562913,0.00135716,44.979177,342.460108,262.874302,599.883395,580.968431,5789.296846,280
12 Jul 2025 19:16:51.101,6968.400066,6968.413902,0.00140913,44.979039,344.424825,259.402953,600.096307,580.457498,5789.111155,290
13 Jul 2025 11:19:23.177,6968.242928,6968.257799,0.00146086,44.978944,346.375578,255.931377,600.300442,579.941156,5788.916629,300
14 Jul 2025 03:21:53.317,6968.088625,6968.104571,0.00151279,44.978911,348.322454,252.459581,600.508836,579.426307,5788.725688,310
14 Jul 2025 19:24:21.583,6967.941418,6967.958475,0.00156459,44.978952,350.238834,248.987596,600.723467,578.919483,5788.543635,320
15 Jul 2025 11:26:47.974,6967.786717,6967.804911,0.00161591,44.979060,352.150789,245.515463,600.927243,578.408579,5788.352280,330
16 Jul 2025 03:29:12.444,6967.632115,6967.651483,0.00166725,44.979218,354.072005,242.043211,601.131302,577.897665,5788.161096,340
16 Jul 2025 19:31:35.040,6967.484947,6967.505518,0.00171828,44.979396,355.974608,238.570873,601.340656,577.396380,5787.979212,350
17 Jul 2025 11:33:55.761,6967.329981,6967.351775,0.00176862,44.979557,357.878276,235.098475,601.537366,576.892184,5787.787639,360
18 Jul 2025 03:36:14.541,6967.172020,6967.195068,0.00181881,44.979663,359.800095,231.626009,601.730062,576.386074,5787.592375,370
18 Jul 2025 19:38:31.405,6967.021102,6967.045427,0.00186853,44.979689,1.711814,228.153458,601.926594,575.890260,5787.405918,380
19 Jul 2025 11:40:46.347,6966.862148,6966.887760,0.00191738,44.979621,3.628273,224.680795,602.108914,575.392607,5787.209462,390
20 Jul 2025 03:42:59.279,6966.696988,6966.723913,0.00196590,44.979470,5.569450,221.207971,602.282827,574.890999,5787.005308,400
20 Jul 2025 19:45:10.200,6966.537957,6966.566210,0.00201383,44.979260,7.507431,217.734942,602.458710,574.399709,5786.808812,410
21 Jul 2025 11:47:19.099,6966.370850,6966.400433,0.00206069,44.979029,9.453642,214.261686,602.619007,573.907858,5786.602258,420
22 Jul 2025 03:49:25.869,6966.194624,6966.225551,0.00210703,44.978819,11.430044,210.788185,602.766589,573.410513,5786.384363,430
22 Jul 2025 19:51:30.485,6966.023426,6966.055704,0.00215258,44.978665,13.408997,207.314442,602.913670,572.923739,5786.172743,440
23 Jul 2025 11:53:32.930,6965.844489,6965.878105,0.00219675,44.978586,15.398505,203.840489,603.043419,572.438791,5785.951467,450
24 Jul 2025 03:55:33.088,6965.654248,6965.689203,0.00224014,44.978585,17.420115,200.366345,603.156350,571.948057,5785.716112,460
24 Jul 2025 19:57:30.913,6965.468149,6965.504440,0.00228256,44.978650,19.445865,196.892025,603.266640,571.468239,5785.485916,470
25 Jul 2025 11:59:26.390,6965.275214,6965.312814,0.00232340,44.978759,21.481350,193.417554,603.359014,570.992614,5785.247174,480
26 Jul 2025 04:01:19.400,6965.069840,6965.108743,0.00236332,44.978885,23.548118,189.942936,603.432538,570.510947,5784.992930,490
26 Jul 2025 20:03:09.888,6964.868173,6964.908366,0.00240224,44.978998,25.619726,186.468161,603.502744,570.039988,5784.743292,500
27 Jul 2025 12:04:57.845,6964.661199,6964.702645,0.00243945,44.979074,27.700711,182.993228,603.555676,569.575614,5784.487000,510
28 Jul 2025 04:06:43.160,6964.441712,6964.484397,0.00247568,44.979094,29.812381,179.518116,603.589227,569.105567,5784.215105,520
28 Jul 2025 20:08:25.777,6964.225862,6964.269769,0.00251092,44.979050,31.930318,176.042797,603.619460,568.646078,5783.947725,530
29 Jul 2025 12:10:05.701,6964.006786,6964.051869,0.00254434,44.978942,34.058043,172.567255,603.633808,568.195931,5783.676273,540
30 Jul 2025 04:11:42.836,6963.776016,6963.822253,0.00257673,44.978779,36.216258,169.091470,603.629159,567.741346,5783.390229,550
30 Jul 2025 20:13:17.135,6963.548902,6963.596271,0.00260813,44.978578,38.382836,165.615415,603.621213,567.297328,5783.108717,560
31 Jul 2025 12:14:48.615,6963.321042,6963.369487,0.00263763,44.978359,40.560018,162.139089,603.599246,566.865727,5782.826211,570
1 Aug 2025 04:16:17.208,6963.082933,6963.132424,0.00266600,44.978144,42.767867,158.662491,603.559112,566.431735,5782.530905,580
