Time (UTCG),Apogee Altitude (km),Earth_gravity (m/sec^2),Drag (m/sec^2),SRP (m/sec^2),SUN_Gravity (m/sec^2),Moon_Gravity (m/sec^2)
00:00.0,500,8.437256,0.000011,0.000002,0,0.000001
01:00.0,500.601907,8.43726,0.000011,0.000002,0,0.000001
02:00.0,501.117174,8.437204,0.000012,0.000002,0,0.000001
03:00.0,501.543537,8.437092,0.000013,0.000002,0,0.000001
04:00.0,501.881074,8.436939,0.000013,0.000002,0,0.000001
05:00.0,502.131177,8.436757,0.000014,0.000002,0,0.000001
06:00.0,502.295567,8.436546,0.000015,0.000002,0,0.000001
07:00.0,502.376421,8.436304,0.000016,0.000002,0,0.000001
08:00.0,502.37726,8.436042,0.000017,0.000002,0,0.000001
09:00.0,502.303335,8.435779,0.000018,0.000002,0,0.000001
10:00.0,502.160901,8.435535,0.000019,0.000002,0,0.000001
11:00.0,501.956203,8.435319,0.00002,0.000002,0,0.000001
12:00.0,501.695242,8.435136,0.000021,0.000002,0,0.000001
13:00.0,501.384371,8.434997,0.000022,0.000002,0,0.000001
14:00.0,501.030842,8.43492,0.000023,0.000002,0,0.000001
15:00.0,500.642592,8.434926,0.000024,0.000002,0,0.000001
16:00.0,500.227593,8.435028,0.000025,0.000002,0,0.000001
17:00.0,499.793515,8.435232,0.000025,0.000002,0.000001,0.000001
18:00.0,499.347926,8.435539,0.000026,0.000002,0.000001,0.000001
19:00.0,498.898583,8.435957,0.000027,0.000002,0.000001,0.000001
20:00.0,498.453441,8.436485,0.000028,0.000002,0.000001,0.000001
21:00.0,498.020624,8.437123,0.000029,0.000002,0.000001,0.000001
22:00.0,497.608905,8.437866,0.000029,0.000002,0.000001,0.000001
23:00.0,497.228814,8.438716,0.00003,0.000002,0.000001,0.000001
24:00.0,496.893909,8.439684,0.00003,0.000002,0.000001,0.000001
25:00.0,496.621687,8.44078,0.000031,0.000002,0.000001,0.000001
26:00.0,496.43399,8.442011,0.000032,0.000002,0.000001,0.000001
27:00.0,496.356963,8.443367,0.000032,0.000002,0.000001,0.000001
28:00.0,496.420142,8.444834,0.000033,0.000002,0,0.000001
29:00.0,496.653609,8.44639,0.000033,0.000002,0,0.000001
30:00.0,497.082261,8.448016,0.000034,0.000002,0,0.000001
31:00.0,497.71823,8.449697,0.000034,0.000002,0,0.000001
32:00.0,498.555129,8.451419,0.000034,0.000002,0,0.000001
33:00.0,499.567895,8.453163,0.000034,0.000002,0,0.000001
34:00.0,500.71845,8.454902,0.000035,0.000002,0,0.000001
35:00.0,501.964096,8.456607,0.000035,0.000002,0,0.000001
36:00.0,503.264747,8.458257,0.000035,0.000002,0,0.000001
37:00.0,504.586176,8.459849,0.000035,0.000002,0,0.000001
38:00.0,505.89882,8.461387,0.000035,0.000002,0,0.000001
39:00.0,507.174437,8.462864,0.000034,0.000002,0,0.000001
40:00.0,508.384017,8.464258,0.000034,0.000002,0,0.000001
41:00.0,509.498424,8.465534,0.000034,0.000002,0,0.000001
42:00.0,510.490591,8.46666,0.000033,0.000002,0,0.000001
43:00.0,511.33727,8.467609,0.000032,0.000002,0,0.000001
44:00.0,512.019815,8.468363,0.000031,0.000002,0,0.000001
45:00.0,512.524802,8.468911,0.000031,0.000002,0,0.000001
46:00.0,512.844693,8.469248,0.00003,0.000002,0,0.000001
47:00.0,512.977591,8.469384,0.000029,0.000002,0,0.000001
48:00.0,512.925358,8.469332,0.000028,0.000002,0,0.000001
49:00.0,512.691141,8.469101,0.000027,0.000002,0,0
50:00.0,512.278408,8.468689,0.000026,0.000002,0,0
51:00.0,511.69238,8.468088,0.000025,0.000002,0,0
52:00.0,510.942112,8.4673,0.000024,0.000002,0,0
53:00.0,510.042047,8.466337,0.000023,0.000002,0,0.000001
54:00.0,509.010489,8.465218,0.000022,0.000002,0,0.000001
55:00.0,507.86794,8.463963,0.000021,0.000002,0,0.000001
56:00.0,506.636969,8.462585,0.00002,0.000002,0,0.000001
57:00.0,505.343313,8.461102,0.000018,0.000002,0,0.000001
58:00.0,504.016634,8.459538,0.000017,0.000002,0,0.000001
59:00.0,502.689678,8.457921,0.000016,0.000002,0,0.000001
00:00.0,501.396666,8.456269,0.000015,0.000002,0,0.000001
01:00.0,500.172821,8.454592,0.000014,0.000002,0,0.000001
02:00.0,499.05543,8.452893,0.000013,0.000002,0,0.000001
03:00.0,498.083852,8.451183,0.000013,0.000002,0,0.000001
04:00.0,497.294778,8.449484,0.000012,0.000002,0,0.000001
05:00.0,496.71253,8.447828,0.000012,0.000002,0,0.000001
06:00.0,496.340472,8.446244,0.000012,0.000002,0,0.000001
07:00.0,496.16101,8.44475,0.000012,0.000002,0,0.000001
08:00.0,496.144144,8.443354,0.000012,0.000002,0,0.000001
09:00.0,496.257583,8.44206,0.000012,0.000002,0,0.000001
10:00.0,496.472854,8.440872,0.000012,0.000002,0.000001,0.000001
11:00.0,496.766872,8.439799,0.000011,0.000002,0.000001,0.000001
12:00.0,497.121004,8.438853,0.000011,0.000002,0.000001,0.000001
13:00.0,497.519628,8.43804,0.000011,0.000002,0.000001,0.000001
14:00.0,497.949291,8.437357,0.00001,0.000002,0,0.000001
15:00.0,498.398488,8.436793,0.00001,0.000002,0,0.000001
16:00.0,498.857505,8.436343,0.000009,0.000002,0,0.000001
17:00.0,499.317845,8.436004,0.000009,0.000002,0,0.000001
18:00.0,499.771437,8.435774,0.000008,0.000002,0,0.000001
19:00.0,500.2102,8.435647,0.000008,0.000002,0,0.000001
20:00.0,500.626132,8.435612,0.000008,0.000002,0,0.000001
21:00.0,501.01149,8.435659,0.000008,0.000002,0,0.000001
22:00.0,501.358626,8.435779,0.000008,0.000002,0,0.000001
23:00.0,501.659788,8.435955,0.000008,0.000002,0,0.000001
24:00.0,501.907551,8.436164,0.000008,0.000002,0,0.000001
25:00.0,502.095709,8.436389,0.000009,0.000002,0,0.000001
26:00.0,502.219429,8.436633,0.000009,0.000002,0,0.000001
27:00.0,502.273745,8.436909,0.000009,0.000002,0,0.000001
28:00.0,502.251878,8.437215,0.000009,0.000002,0,0.000001
29:00.0,502.14503,8.437511,0.00001,0.000002,0,0.000001
30:00.0,501.945094,8.437745,0.00001,0.000002,0,0.000001
31:00.0,501.648123,8.437882,0.00001,0.000002,0,0.000001
32:00.0,501.255286,8.437934,0.00001,0.000002,0,0.000001
33:00.0,500.770511,8.437932,0.00001,0.000002,0,0.000001
34:00.0,500.198238,8.437895,0.000011,0.000002,0,0.000001
35:00.0,500.020437,8.437813,0.000011,0.000002,0,0.000001
36:00.0,500.537663,8.437674,0.000012,0.000002,0,0.000001
37:00.0,500.972323,8.437484,0.000012,0.000002,0,0.000001
38:00.0,501.324029,8.43727,0.000013,0.000002,0,0.000001
39:00.0,501.595535,8.437054,0.000014,0.000002,0,0.000001
40:00.0,501.788951,8.436836,0.000015,0.000002,0,0.000001
41:00.0,501.905538,8.436607,0.000015,0.000002,0,0.000001
42:00.0,501.947004,8.436362,0.000016,0.000002,0,0.000001
43:00.0,501.916457,8.436111,0.000017,0.000002,0,0.000001
44:00.0,501.818112,8.435869,0.000018,0.000002,0,0.000001
45:00.0,501.656574,8.435642,0.000019,0.000002,0,0.000001
46:00.0,501.436767,8.435437,0.00002,0.000002,0,0.000001
47:00.0,501.164472,8.435266,0.000021,0.000002,0,0.000001
48:00.0,500.846568,8.435152,0.000022,0.000002,0,0.000001
49:00.0,500.490545,8.435115,0.000023,0.000002,0,0.000001
50:00.0,500.103793,8.435162,0.000024,0.000002,0,0.000001
51:00.0,499.69345,8.435299,0.000025,0.000002,0,0.000001
52:00.0,499.266882,8.435532,0.000026,0.000002,0.000001,0.000001
53:00.0,498.832179,8.435876,0.000027,0.000002,0.000001,0.000001
54:00.0,498.398158,8.436344,0.000028,0.000002,0.000001,0.000001
55:00.0,497.973997,8.436944,0.000028,0.000002,0.000001,0.000001
56:00.0,497.569081,8.43767,0.000029,0.000002,0.000001,0.000001
57:00.0,497.193519,8.438519,0.00003,0.000002,0.000001,0.000001
58:00.0,496.85918,8.439486,0.00003,0.000002,0.000001,0.000001
59:00.0,496.580671,8.440573,0.000031,0.000002,0.000001,0.000001
00:00.0,496.375825,8.441777,0.000032,0.000002,0.000001,0.000001
01:00.0,496.26581,8.443085,0.000032,0.000002,0.000001,0.000001
02:00.0,496.275304,8.444482,0.000033,0.000002,0,0.000001
03:00.0,496.432305,8.445958,0.000033,0.000002,0,0.000001
04:00.0,496.765415,8.447513,0.000034,0.000002,0,0.000001
