"Time (UTCG)","Eccentricity","Apogee Altitude (km)","Perigee Altitude (km)","Drag force (m/sec^2)","solar radiation pressure (m/sec^2)","gravity force (m/sec^2)","total force sum (m/sec^2)"
22 Mar 2025 10:00:00.000,0.000000,500.000000,500.000000,0.000038,0.000002,8.437228,8.437230
22 Mar 2025 10:01:00.000,0.000092,500.588825,499.316658,0.000039,0.000002,8.437233,8.437235
22 Mar 2025 10:02:00.000,0.000185,501.091211,498.550081,0.000039,0.000002,8.437168,8.437170
22 Mar 2025 10:03:00.000,0.000276,501.505477,497.707272,0.000040,0.000002,8.437048,8.437050
22 Mar 2025 10:04:00.000,0.000366,501.832613,496.796476,0.000041,0.000002,8.436898,8.436899
22 Mar 2025 10:05:00.000,0.000454,502.073248,495.824763,0.000041,0.000002,8.436713,8.436714
22 Mar 2025 10:06:00.000,0.000540,502.226931,494.799908,0.000041,0.000002,8.436469,8.436471
22 Mar 2025 10:07:00.000,0.000622,502.294885,493.734537,0.000042,0.000002,8.436165,8.436167
22 Mar 2025 10:08:00.000,0.000701,502.282666,492.646733,0.000042,0.000002,8.435844,8.435845
22 Mar 2025 10:09:00.000,0.000774,502.198985,491.555115,0.000042,0.000002,8.435562,8.435564
22 Mar 2025 10:10:00.000,0.000842,502.051691,490.473642,0.000041,0.000002,8.435340,8.435341
22 Mar 2025 10:11:00.000,0.000904,501.845415,489.412434,0.000041,0.000002,8.435150,8.435151
22 Mar 2025 10:12:00.000,0.000960,501.583324,488.383587,0.000040,0.000002,8.434965,8.434966
22 Mar 2025 10:13:00.000,0.001009,501.270496,487.404635,0.000040,0.000002,8.434799,8.434801
22 Mar 2025 10:14:00.000,0.001049,500.914794,486.495351,0.000039,0.000002,8.434696,8.434697
22 Mar 2025 10:15:00.000,0.001081,500.524606,485.672117,0.000038,0.000002,8.434682,8.434683
22 Mar 2025 10:16:00.000,0.001103,500.106711,484.946765,0.000037,0.000002,8.434751,8.434752
22 Mar 2025 10:17:00.000,0.001116,499.666996,484.330467,0.000036,0.000002,8.434892,8.434893
22 Mar 2025 10:18:00.000,0.001119,499.212928,483.836581,0.000034,0.000002,8.435126,8.435126
22 Mar 2025 10:19:00.000,0.001112,498.754664,483.478204,0.000033,0.000002,8.435493,8.435494
22 Mar 2025 10:20:00.000,0.001095,498.303712,483.263324,0.000032,0.000002,8.436022,8.436023
22 Mar 2025 10:21:00.000,0.001068,497.871176,483.192995,0.000031,0.000002,8.436711,8.436711
22 Mar 2025 10:22:00.000,0.001034,497.467769,483.263205,0.000030,0.000002,8.437544,8.437544
22 Mar 2025 10:23:00.000,0.000993,497.105353,483.466284,0.000030,0.000002,8.438515,8.438515
22 Mar 2025 10:24:00.000,0.000947,496.798120,483.789355,0.000029,0.000002,8.439623,8.439623
22 Mar 2025 10:25:00.000,0.000899,496.562588,484.212117,0.000028,0.000002,8.440858,8.440858
